event_date,event,fight_id,fighter,rule,live,units,rd_self,rd_opp,placed,stake_u,pnl_placed,open_line,placeable_line,clean_close,clv_pts,result,method,round,pnl,pnl_at_open
2013-10-19,UFC 166: Velasquez vs Dos Santos 3,e1ccf09c055bac01,Dustin Pague,FLIP,0,1,180.14,350.0,0,0.0,-0.0,100,,135,-4.91,LOSS,KO/TKO,2,-1.0,-1.0
2013-10-19,UFC 166: Velasquez vs Dos Santos 3,2a5fd0e2728967a5,Nate Marquardt,FLIP,0,1,113.69,198.0,1,1.0,-1.0,150,,170,-2.08,LOSS,KO/TKO,1,-1.0,-1.0
2013-11-06,UFC Fight Night: Fight for the Troops 3,20a83369ee44e1d4,Derek Brunson,GAP,0,1,267.66,350.0,0,0.0,0.0,-230,,-172,-3.76,WIN,SUB,1,0.4348,0.4348
2013-11-06,UFC Fight Night: Fight for the Troops 3,add991cb839af4ed,Amanda Nunes,FLIP,0,1,286.98,290.37,0,0.0,0.0,100,,113,-0.94,WIN,KO/TKO,1,1.0,1.0
2013-11-06,UFC Fight Night: Fight for the Troops 3,ce30634422a264f9,Steven Siler,FLIP,0,1,168.7,185.98,0,0.0,-0.0,165,,168,0.48,LOSS,U-DEC,3,-1.0,-1.0
2013-11-06,UFC Fight Night: Fight for the Troops 3,b35f2071e6dd4b12,Ronny Markes,GAP,0,1,201.52,272.22,0,0.0,-0.0,-125,,140,-10.58,LOSS,KO/TKO,3,-1.0,-1.0
2013-11-06,UFC Fight Night: Fight for the Troops 3,26e876df6d498657,Rafael Natal,FLIP,0,1,160.67,290.38,0,0.0,-0.0,230,,320,-5.58,LOSS,KO/TKO,1,-1.0,-1.0
2013-11-09,UFC Fight Night: Belfort vs Henderson 2,2dd0a47f43dfe8f6,Daron Cruickshank,FLIP,0,1,183.07,350.0,0,0.0,-0.0,120,,-145,14.63,LOSS,SUB,2,-1.0,-1.0
2013-11-09,UFC Fight Night: Belfort vs Henderson 2,0a70601cc9f2426f,Godofredo Pepey,FLIP,0,1,215.2,219.55,0,0.0,-0.0,150,,-125,15.34,LOSS,KO/TKO,1,-1.0,-1.0
2013-11-09,UFC Fight Night: Belfort vs Henderson 2,389c844a1a56177c,Ryan LaFlare,GAP,0,1,287.05,350.0,0,0.0,0.0,-140,,-120,-1.67,WIN,U-DEC,3,0.7143,0.7143
2013-11-09,UFC Fight Night: Belfort vs Henderson 2,2d57ce76f7922ed9,Cezar Ferreira,GAP,0,1,254.77,233.49,0,0.0,0.0,-125,,-172,10.59,WIN,S-DEC,3,0.8,0.8
2013-11-16,UFC 167: St-Pierre vs Hendricks,1f5c71dd2a0672ac,Josh Koscheck,FLIP,0,1,97.57,231.64,1,1.0,-1.0,-115,,100,-1.13,LOSS,KO/TKO,1,-1.0,-1.0
2013-12-06,UFC Fight Night: Hunt vs Bigfoot,39efb868dbe7e311,Julie Kedzie,GAP,0,1,290.39,350.0,0,0.0,-0.0,-190,,-172,-0.56,LOSS,S-DEC,3,-1.0,-1.0
2013-12-14,UFC on FOX: Johnson vs. Benavidez 2,f5fb4435faf1ca04,King Green,FLIP,0,1,227.84,270.83,0,0.0,0.0,170,,130,7.32,WIN,U-DEC,3,1.7,1.7
2013-12-14,UFC on FOX: Johnson vs. Benavidez 2,00566b4d89565373,Michael McDonald,FLIP,0,1,164.5,156.91,1,0.75,-0.75,120,,130,-0.78,LOSS,SUB,2,-1.0,-1.0
2013-12-28,UFC 168: Weidman vs Silva 2,49c0071ae52fc83a,William Macario,FLIP,0,1,290.42,223.65,0,0.0,0.0,110,,118,-0.0,WIN,U-DEC,3,1.1,1.1
2013-12-28,UFC 168: Weidman vs Silva 2,5e4f358e0bcc2f15,Dustin Poirier,GAP,0,1,150.46,173.92,1,0.85,0.5,-170,,-247,9.87,WIN,KO/TKO,1,0.5882,0.5882
