slug,event_title,event_date,mu,fighter1,fighter2,f1_open,f1_close,f2_open,f2_close,f1_ticks,f2_ticks,t_open,t_close
ufc-fight-night-214ting-championship-2612,UFC Fight Night 214ting Championship for November 5 | Best Fight Odds,2022-11-05,28339,Carlos Candelario,Jake Hadley,3.1,3.22,1.4,1.36364,49,49,1666381938000,1667680935000
ufc-fight-night-214ting-championship-2612,UFC Fight Night 214ting Championship for November 5 | Best Fight Odds,2022-11-05,28169,Ramona Pascual,Tamires Vidal,3.0,2.01,1.42553,1.81301,69,69,1666381938000,1667679615000
ufc-fight-night-215-2633,UFC Fight Night 215 for November 19 | Best Fight Odds,2022-11-19,28689,Derrick Lewis,Sergey Spivak,1.86957,2.9,1.95238,1.43103,78,78,1667003432000,1668886609000
ufc-fight-night-215-2633,UFC Fight Night 215 for November 19 | Best Fight Odds,2022-11-19,29050,Ion Curelaba,Kennedy Nzechukwu,1.90909,2.56,1.90909,1.53191,59,59,1667332821000,1668899671000
ufc-fight-night-215-2633,UFC Fight Night 215 for November 19 | Best Fight Odds,2022-11-19,29052,Marcin Prachnio,William Knight,1.68966,1.68966,2.2,2.2,1,1,1667615906000,1667615906000
ufc-fight-night-215-2633,UFC Fight Night 215 for November 19 | Best Fight Odds,2022-11-19,28343,Cody Brundage,Rodolfo Vieira,2.45,2.45,1.57143,1.57143,1,1,1667616026000,1667616026000
ufc-fight-night-215-2633,UFC Fight Night 215 for November 19 | Best Fight Odds,2022-11-19,29252,Chase Sherman,Waldo Cortes-Acosta,2.4,2.94,1.625,1.42017,76,76,1668218545000,1668897498000
ufc-fight-night-215-2633,UFC Fight Night 215 for November 19 | Best Fight Odds,2022-11-19,28362,Andre Fialho,Muslim Salikhov,2.55,1.91743,1.55556,1.9009,84,84,1667003433000,1668895711000
ufc-fight-night-215-2633,UFC Fight Night 215 for November 19 | Best Fight Odds,2022-11-19,28991,Danny Roberts,Jack Della Maddalena,3.75,6.19,1.29851,1.13717,76,76,1667003433000,1668893928000
ufc-fight-night-215-2633,UFC Fight Night 215 for November 19 | Best Fight Odds,2022-11-19,28358,Charles Johnson,Zhalgas Zhumagulov,1.57143,1.5814,2.5,2.41,36,36,1667003433000,1668892338000
ufc-fight-night-215-2633,UFC Fight Night 215 for November 19 | Best Fight Odds,2022-11-19,28406,Jennifer Maia,Maryna Moroz,2.3,2.41,1.66667,1.58824,73,73,1667003433000,1668889581000
ufc-fight-night-215-2633,UFC Fight Night 215 for November 19 | Best Fight Odds,2022-11-19,29192,Miles Johns,Vince Morales,1.625,1.57471,2.4,2.43,60,60,1667693049000,1668887775000
ufc-fight-night-215-2633,UFC Fight Night 215 for November 19 | Best Fight Odds,2022-11-19,28342,Kevin Natividad,Ricky Turcios,2.6,2.48,1.54054,1.55866,53,53,1667003433000,1668885982000
ufc-fight-night-215-2633,UFC Fight Night 215 for November 19 | Best Fight Odds,2022-11-19,28338,Maria Oliveira,Vanessa Demopoulos,1.66667,1.91743,2.3,1.89286,63,63,1667003433000,1668884541000
ufc-fight-night-215-2633,UFC Fight Night 215 for November 19 | Best Fight Odds,2022-11-19,28412,Brady Hiestand,Fernie Garcia,1.74074,1.55556,2.05,2.5,55,55,1667003433000,1668882989000
ufc-fight-night-215-2633,UFC Fight Night 215 for November 19 | Best Fight Odds,2022-11-19,28903,Natalia Silva,Tereza Bleda,2.0,1.5988,1.83333,2.38,62,62,1667003433000,1668881421000
ufc-fight-night-217-2632,UFC Fight Night 217 for December 17 | Best Fight Odds,2022-12-17,28891,Geoffrey Neal,Shavkat Rakhmonov,2.7,3.63,1.5,1.31447,16,16,1665518297000,1671218787000
ufc-fight-night-217-2632,UFC Fight Night 217 for December 17 | Best Fight Odds,2022-12-17,28998,Jared Cannonier,Sean Strickland,1.66667,1.84746,2.3,1.96154,116,116,1669168689000,1671330389000
ufc-fight-night-217-2632,UFC Fight Night 217 for December 17 | Best Fight Odds,2022-12-17,28749,Arman Tsarukyan,Damir Ismagulov,1.44444,1.49751,2.9,2.66,129,129,1664482589000,1671328348000
